Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
129,16,CCCCCCCCC[N+](C)(C)CCCCC,87493818,dimethyl-nonyl-pentylazanium,6.0,224.8,242.46,1,12.0,12,0,152,17,1.0,2.0,23.54,2.45,0.81,10
130,16,CCCCCCCCC[N+](C)(CC)CCCC,159414620,butyl-ethyl-methyl-nonylazanium,5.9,222.5,242.46,1,12.0,12,0,156,17,1.0,2.0,13.4,2.92,1.48,10
133,16,CCCCCCCC[N+](C)(C)CCCCCC,44630345,hexyl-dimethyl-octylazanium,6.0,224.6,242.46,1,12.0,12,0,152,17,1.0,5.0,22.06,2.79,0.83,10
134,16,CCCCCCCC[N+](C)(CC)CCCCC,123637971,ethyl-methyl-octyl-pentylazanium,5.9,223.1,242.46,1,12.0,12,0,156,17,1.0,4.0,18.99,2.62,1.03,10
135,16,CCCCCCCC[N+](C)(CCC)CCCC,141640656,butyl-methyl-octyl-propylazanium,5.8,222.6,242.46,1,12.0,12,0,156,17,1.0,5.0,11.35,3.52,1.9,10
136,16,CCCCCCCC[N+](CC)(CC)CCCC,127262847,butyl-diethyl-octylazanium,5.7,221.3,242.46,1,12.0,12,0,150,17,1.0,4.0,13.74,3.32,1.27,10
138,16,CCCCCCC[N+](C)(C)CCCCCCC,17912687,diheptyl(dimethyl)azanium,6.0,224.6,242.46,1,12.0,12,0,136,17,1.0,4.0,14.95,5.43,0.92,10
139,16,CCCCCCC[N+](C)(CC)CCCCCC,175528723,ethyl-heptyl-hexyl-methylazanium,5.9,222.9,242.46,1,12.0,12,0,156,17,1.0,4.0,9.79,6.08,0.99,10
140,16,CCCCCCC[N+](C)(CCC)CCCCC,71382092,heptyl-methyl-pentyl-propylazanium,5.8,223.1,242.46,1,12.0,12,0,156,17,1.0,4.0,15.35,3.6,1.05,10
141,16,CCCCCCC[N+](C)(CCCC)CCCC,150372540,dibutyl-heptyl-methylazanium,5.7,223.1,242.46,1,12.0,12,0,146,17,1.0,4.0,12.26,4.47,1.26,10
